customer_id,recency,frequency,monetary,log_recency,log_frequency,log_monetary,cluster_name
360,5,0.3613,368.3000000000002,1.791759469228055,0.30844012553629035,5.911609321858518,1
361,0,1.2689,800.6999999999998,0.0,0.8192951325479564,6.686734473048905,0
362,12,0.5798,291.9,2.5649493574615367,0.4572982567481817,5.6798312538336875,1
363,1,0.3782,247.65000000000003,0.6931471805599453,0.3207782999409705,5.516046285160748,2
364,4,0.6807,451.3,1.6094379124341003,0.5192103733003838,6.114345676483797,2
365,1,0.2605,157.0,0.6931471805599453,0.2315084676458375,5.062595033026967,2
366,7,0.3866,210.0,2.0794415416798357,0.32685470752625295,5.351858133476067,1
367,8,0.563,263.75,2.1972245773362196,0.44660705143933954,5.578785984481516,1
368,6,0.6639,517.8499999999999,1.9459101490553132,0.5091642444393245,6.251614824051288,1
369,1,0.5966,328.15,0.6931471805599453,0.46787636822956147,5.796513573913885,2
370,18,0.605,686.8499999999998,2.9444389791664403,0.4731237565819792,6.533570790907004,1
371,24,0.7647,385.2500000000001,3.2188758248682006,0.5679807042670505,5.956484828211956,1
372,0,0.4874,252.34999999999997,0.0,0.39702962928706276,5.534771931921918,0
373,17,0.521,206.0,2.8903717578961645,0.4193680132771558,5.332718793265369,1
374,5,0.8992,499.69999999999993,1.791759469228055,0.6414327448732665,6.216007119335899,2
375,9,0.5042,289.75,2.302585092994046,0.40826119541016564,5.672463791398774,1
376,0,0.6134,412.5,0.0,0.4783437535207369,6.024657514463746,0
377,1,0.7563,470.94999999999976,0.6931471805599453,0.5632093234455529,6.156873047770953,2
378,0,1.0084,609.6,0.0,0.6973383851784134,6.414442080300778,0
379,2,1.042,499.9500000000001,1.0986122886681098,0.7139297197424739,6.216506295705273,2
380,13,0.3193,186.75000000000003,2.6390573296152584,0.27710129290759383,5.2351112906442445,1
381,2,1.1765,869.8000000000002,1.0986122886681098,0.7777180820102152,6.769412329360392,2
382,10,0.7143,410.80000000000007,2.3978952727983707,0.5390048340312983,6.0205377945936895,1
383,2,0.7815,436.75,1.0986122886681098,0.5774557060637537,6.081647971165961,2
384,5,1.1345,833.2999999999997,1.791759469228055,0.7582324272158797,6.726593049908028,2
385,1,0.2521,95.5,0.6931471805599453,0.22482214169276493,4.56954300834494,2
386,2,0.5378,329.0,1.0986122886681098,0.43035282361594335,5.799092654460526,2
387,0,0.6807,446.0,0.0,0.5192103733003838,6.102558594613569,0
388,5,1.2521,1185.0500000000002,1.791759469228055,0.8118631142649293,7.078383737185046,1
389,8,0.479,449.4999999999999,2.1972245773362196,0.3913661837286628,6.110358077048392,1
390,5,0.7395,460.7,1.791759469228055,0.5535977156098597,6.1349153295129435,1
391,6,0.8487,512.5,1.9459101490553132,0.6144826893762628,6.241250029368613,1
392,4,0.9076,731.7500000000002,1.6094379124341003,0.6458459074419322,6.596804579591002,2
393,8,0.8067,600.9999999999998,2.1972245773362196,0.5915019767977444,6.400257445308821,1
