cohort_week,0,1,2,3,4,5,6,7,8,9,10,11,12,New User
2022-01-31/2022-02-06,100.0,71.23572170301142,43.769470404984425,55.347871235721705,92.93873312564901,71.96261682242991,45.17133956386293,56.438213914849435,93.14641744548287,95.06749740394599,77.72585669781932,71.96261682242991,69.21079958463136,1926.0
2022-02-07/2022-02-13,100.0,45.2914798206278,53.81165919282511,61.88340807174888,82.0627802690583,43.946188340807176,53.36322869955157,77.57847533632287,93.27354260089686,80.71748878923766,66.3677130044843,70.85201793721974,,223.0
2022-02-14/2022-02-20,100.0,56.09756097560976,58.536585365853654,39.02439024390244,75.60975609756098,58.536585365853654,53.65853658536586,60.97560975609756,80.48780487804879,85.36585365853658,70.73170731707317,,,41.0
2022-02-21/2022-02-27,100.0,51.85185185185185,37.03703703703704,37.03703703703704,81.48148148148148,70.37037037037037,77.77777777777779,44.44444444444444,66.66666666666666,88.88888888888889,,,,27.0
2022-02-28/2022-03-06,100.0,33.33333333333333,16.666666666666664,20.833333333333336,62.5,79.16666666666666,41.66666666666667,29.166666666666668,58.333333333333336,,,,,24.0
2022-03-07/2022-03-13,100.0,0.0,80.0,40.0,60.0,80.0,20.0,80.0,,,,,,5.0
2022-03-28/2022-04-03,100.0,50.0,,,,,,,,,,,,2.0
2022-04-04/2022-04-10,100.0,0.0,,,,,,,,,,,,1.0
2022-04-25/2022-05-01,100.0,0.0,,,,,,,,,,,,1.0
